id,img_1,img_2,score,similarity_type,lien_interne
30102753,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit116_man116_0238_1450,848,390,356.jpg",30.80831,1,False
30103098,"wit75_pdf75_0106_45,1208,200,123.jpg","wit116_man116_0580_694,118,334,277.jpg",42.17325,1,False
30103357,"wit75_pdf75_0106_698,1402,226,193.jpg","wit116_man116_0568_780,1131,601,357.jpg",41.25701,1,False
30040081,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0204_1860,794,209,153.jpg",50.46398,1,True
30039295,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit75_pdf75_0204_1982,1031,230,208.jpg",72.30145,1,True
30040095,"wit75_pdf75_0106_247,1606,238,239.jpg","wit75_pdf75_0204_1982,1031,230,208.jpg",56.43492,1,True
30040098,"wit75_pdf75_0106_489,1643,223,183.jpg","wit75_pdf75_0204_1982,1031,230,208.jpg",50.46445,1,True
30040099,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0204_1982,1031,230,208.jpg",76.00683,1,True
30040103,"wit75_pdf75_0106_491,454,251,212.jpg","wit75_pdf75_0204_1982,1031,230,208.jpg",79.54164,1,True
30039590,"wit75_pdf75_0106_704,1581,201,249.jpg","wit75_pdf75_0204_498,1574,204,185.jpg",75.3954,1,True
30040290,"wit75_pdf75_0106_375,1857,224,216.jpg","wit75_pdf75_0204_498,1574,204,185.jpg",73.73484,1,True
30040359,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0204_687,1081,349,320.jpg",28.97103,1,True
30040383,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0204_773,508,198,201.jpg",62.13014,1,True
30040396,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0204_840,1385,187,202.jpg",68.69947,1,True
30039412,"wit75_pdf75_0106_375,1857,224,216.jpg","wit75_pdf75_0204_840,1385,187,202.jpg",70.87261,1,True
30039488,"wit75_pdf75_0106_491,454,251,212.jpg","wit75_pdf75_0459_1046,840,336,308.jpg",61.33823,1,True
30039287,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit75_pdf75_0459_1046,840,336,308.jpg",45.51372,1,True
30039611,"wit75_pdf75_0106_761,449,318,245.jpg","wit75_pdf75_0459_1046,840,336,308.jpg",57.19661,1,True
30040553,"wit75_pdf75_0106_264,262,263,180.jpg","wit75_pdf75_0459_1046,840,336,308.jpg",63.53137,1,True
30039670,"wit75_pdf75_0106_982,1029,148,350.jpg","wit75_pdf75_0459_1129,1562,248,247.jpg",27.43788,1,True
30039671,"wit75_pdf75_0106_982,1029,148,350.jpg","wit75_pdf75_0459_1131,188,231,310.jpg",32.91067,1,True
30039385,"wit75_pdf75_0106_338,1340,196,250.jpg","wit75_pdf75_0459_20,807,246,244.jpg",31.91971,1,True
30040608,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0459_20,807,246,244.jpg",72.56872,1,True
30040774,"wit75_pdf75_0106_375,1857,224,216.jpg","wit75_pdf75_0459_491,709,269,294.jpg",82.41239,1,True
30039669,"wit75_pdf75_0106_982,1029,148,350.jpg","wit75_pdf75_0459_577,1739,460,373.jpg",34.14086,1,True
30039489,"wit75_pdf75_0106_491,454,251,212.jpg","wit75_pdf75_0459_577,1739,460,373.jpg",43.1874,1,True
30039539,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0459_577,1739,460,373.jpg",37.52011,1,True
30039296,"wit75_pdf75_0106_1174,1586,198,237.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",84.15893,1,True
30040793,"wit75_pdf75_0106_624,1857,224,201.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",36.8185,1,True
30040796,"wit75_pdf75_0106_338,1340,196,250.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",46.27086,1,True
30040797,"wit75_pdf75_0106_247,1606,238,239.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",42.71071,1,True
30040799,"wit75_pdf75_0106_70,2061,264,240.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",33.91298,1,True
30040800,"wit75_pdf75_0106_489,1643,223,183.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",35.59584,1,True
30040801,"wit75_pdf75_0106_888,1854,218,207.jpg","wit75_pdf75_0459_584,2030,218,224.jpg",42.32451,1,True
30040803,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0459_624,184,227,273.jpg",29.92747,1,True
30040807,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0459_624,184,227,273.jpg",52.17838,1,True
30039254,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0459_640,453,140,268.jpg",27.17982,1,True
30039626,"wit75_pdf75_0106_869,787,252,236.jpg","wit75_pdf75_0459_640,453,140,268.jpg",48.24876,1,True
30039663,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0459_640,453,140,268.jpg",50.59588,1,True
30040812,"wit75_pdf75_0106_1174,1859,206,302.jpg","wit75_pdf75_0459_640,453,140,268.jpg",29.29636,1,True
30039227,"wit75_pdf75_0106_1068,466,321,200.jpg","wit75_pdf75_0459_640,453,140,268.jpg",35.4255,1,True
30039477,"wit75_pdf75_0106_489,1643,223,183.jpg","wit75_pdf75_0459_640,453,140,268.jpg",33.09144,1,True
30039656,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0459_712,1156,201,315.jpg",40.82137,1,True
30039265,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0459_712,1156,201,315.jpg",61.51064,1,True
30039519,"wit75_pdf75_0106_54,229,219,217.jpg","wit75_pdf75_0459_712,1156,201,315.jpg",26.44817,1,True
30039639,"wit75_pdf75_0106_898,1585,273,248.jpg","wit75_pdf75_0459_846,195,294,312.jpg",30.44281,1,True
30040866,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit75_pdf75_0459_846,195,294,312.jpg",25.61054,1,True
